country,year,lap_wgva_noc_rt
gbr,2007,62.0
gbr,2008,62.3
gbr,2009,64.8
gbr,2010,64.0
gbr,2011,63.6
geo,2003,50.9
geo,2004,49.6
geo,2005,49.4
geo,2006,48.1
geo,2007,52.2
geo,2008,64.9
geo,2009,80.8
grc,1995,55.9
grc,1996,55.1
grc,1997,56.4
grc,1998,56.2
grc,1999,56.4
grc,2000,55.6
grc,2001,53.7
grc,2002,57.2
grc,2003,55.9
grc,2004,55.5
grc,2005,55.8
grc,2006,53.2
grc,2007,53.3
grc,2008,54.5
grc,2009,56.8
grc,2010,54.9
grc,2011,52.4
hrv,1996,55.6
hrv,1997,57.0
hrv,1998,60.3
hrv,1999,62.2
hrv,2000,60.8
hrv,2001,57.4
hrv,2002,58.5
hrv,2003,59.2
hrv,2004,57.9
hrv,2005,57.1
hrv,2006,56.1
hrv,2007,56.1
hrv,2008,57.2
hrv,2009,58.4
hrv,2010,59.2
hrv,2011,57.1
hun,1995,55.8
hun,1996,55.3
hun,1997,54.6
hun,1998,53.7
hun,1999,52.8
hun,2000,53.6
hun,2001,53.4
hun,2002,53.5
hun,2003,53.7
hun,2004,53.2
hun,2005,53.3
hun,2006,52.5
hun,2007,53.0
hun,2008,52.5
hun,2009,52.2
hun,2010,49.0
hun,2011,49.4
irl,1995,56.0
irl,1996,54.8
irl,1997,52.5
irl,1998,51.7
irl,1999,49.9
irl,2000,48.5
irl,2001,48.2
irl,2002,46.3
irl,2003,46.5
irl,2004,47.4
irl,2005,48.5
irl,2006,48.8
irl,2007,50.2
irl,2008,55.3
irl,2009,56.2
irl,2010,53.7
irl,2011,51.7
isl,1995,61.8
isl,1996,61.7
isl,1997,60.3
isl,1998,62.6
isl,1999,65.1
isl,2000,67.0
isl,2001,64.8
isl,2002,65.7
isl,2003,65.1
isl,2004,64.7
isl,2005,66.0
isl,2006,68.4
isl,2007,69.9
isl,2008,65.0
isl,2009,59.1
isl,2010,59.9
isl,2011,60.7
isr,2005,64.4
isr,2006,64.2
isr,2007,65.3
isr,2008,65.9
isr,2009,62.7
ita,1995,56.5
ita,1996,56.7
ita,1997,56.8
ita,1998,54.2
ita,1999,54.0
ita,2000,53.2
ita,2001,53.2
ita,2002,53.3
ita,2003,53.8
ita,2004,53.6
ita,2005,53.9
ita,2006,54.1
ita,2007,53.7
ita,2008,54.7
ita,2009,55.7
ita,2010,55.2
ita,2011,55.1
jpn,1995,64.4
jpn,1996,63.6
jpn,1997,63.7
jpn,1998,64.1
jpn,1999,63.5
jpn,2000,62.7
jpn,2001,62.5
jpn,2002,61.1
jpn,2003,59.9
jpn,2004,58.6
jpn,2005,58.6
jpn,2006,58.0
jpn,2007,56.9
jpn,2008,58.2
jpn,2009,58.7
jpn,2010,57.3
jpn,2011,59.4
kor,1995,73.8
kor,1996,75.2
kor,1997,72.7
kor,1998,71.9
kor,1999,68.9
kor,2000,68.0
kor,2001,68.9
kor,2002,67.9
kor,2003,68.4
kor,2004,67.7
kor,2005,69.0
kor,2006,68.8
kor,2007,67.6
kor,2008,67.3
kor,2009,66.2
kor,2010,63.2
kor,2011,63.2
ltu,1995,45.5
ltu,1996,48.8
ltu,1997,50.3
ltu,1998,51.9
ltu,1999,53.4
ltu,2000,48.8
ltu,2001,47.3
ltu,2002,48.0
ltu,2003,48.9
ltu,2004,49.3
ltu,2005,49.0
ltu,2006,50.6
ltu,2007,49.7
ltu,2008,50.0
ltu,2009,51.2
ltu,2010,46.5
ltu,2011,44.0
lux,1995,51.3
lux,1996,51.3
lux,1997,52.2
lux,1998,51.9
lux,1999,49.6
lux,2000,49.8
lux,2001,53.1
lux,2002,53.1
lux,2003,50.8
lux,2004,50.5
lux,2005,49.3
lux,2006,46.7
lux,2007,45.8
lux,2008,46.6
lux,2009,50.5
lux,2010,49.0
lux,2011,48.3
lva,1995,51.7
lva,1996,54.0
lva,1997,54.8
lva,1998,53.1
lva,1999,52.2
lva,2000,49.1
lva,2001,47.4
lva,2002,45.3
lva,2003,46.0
lva,2004,45.7
lva,2005,47.9
lva,2006,50.1
lva,2007,53.0
lva,2008,56.6
lva,2009,52.8
lva,2010,48.7
lva,2011,47.2
mex,1995,43.8
mex,1996,40.2
mex,1997,41.5
mex,1998,42.4
mex,1999,43.3
mex,2000,42.9
mex,2001,45.1
mex,2002,45.1
mex,2003,44.1
mex,2004,41.7
mex,2005,41.3
mex,2006,39.5
mex,2007,38.8
mex,2008,38.7
mex,2009,40.3
mex,2010,38.9
mex,2011,38.2
mkd,2007,47.0
mkd,2008,48.5
mkd,2009,53.4
mkd,2010,54.0
mkd,2011,54.0
mlt,1995,51.0
mlt,1996,53.0
mlt,1997,52.0
mlt,1998,52.0
mlt,1999,51.8
mlt,2000,49.9
mlt,2001,52.6
mlt,2002,51.5
mlt,2003,52.8
mlt,2004,53.2
mlt,2005,51.5
mlt,2006,52.6
mlt,2007,51.4
mlt,2008,51.5
mlt,2009,53.2
mlt,2010,51.4
mlt,2011,50.6
nld,1995,60.7
nld,1996,60.2
nld,1997,59.4
nld,1998,59.9
nld,1999,59.6
nld,2000,58.8
nld,2001,58.8
nld,2002,59.4
nld,2003,59.5
nld,2004,59.2
nld,2005,57.6
nld,2006,56.9
nld,2007,56.8
nld,2008,57.3
nld,2009,60.5
nld,2010,59.2
nld,2011,58.9
nor,1995,51.5
nor,1996,50.1
nor,1997,50.0
nor,1998,53.9
nor,1999,52.7
nor,2000,46.6
nor,2001,47.6
nor,2002,50.0
nor,2003,49.5
nor,2004,47.2
nor,2005,44.7
nor,2006,43.8
nor,2007,45.9
nor,2008,45.2
nor,2009,50.5
nor,2010,48.9
nor,2011,48.3
nzl,1995,46.3
nzl,1996,47.0
nzl,1997,47.1
nzl,1998,47.2
nzl,1999,45.6
nzl,2000,44.5
nzl,2001,44.3
nzl,2002,45.1
nzl,2003,45.3
nzl,2004,46.0
nzl,2005,47.1
nzl,2006,47.2
nzl,2007,46.2
nzl,2008,47.0
nzl,2009,47.2
nzl,2010,54.2
nzl,2011,58.9
phl,1995,54.8
phl,1996,55.8
phl,1997,55.0
phl,1998,56.6
phl,1999,54.7
phl,2000,51.6
phl,2001,50.8
phl,2002,50.2
phl,2003,48.8
phl,2004,53.0
phl,2005,54.9
phl,2006,54.4
phl,2007,53.4
phl,2008,53.0
phl,2009,53.7
pol,1995,56.7
pol,1996,58.2
pol,1997,58.3
pol,1998,57.7
pol,1999,56.9
pol,2000,55.4
pol,2001,57.1
pol,2002,54.6
pol,2003,52.5
pol,2004,49.4
pol,2005,48.3
pol,2006,47.1
pol,2007,46.5
pol,2008,48.5
pol,2009,47.8
pol,2010,48.2
pol,2011,47.5
prt,1995,58.4
prt,1996,59.3
prt,1997,59.3
prt,1998,59.1
prt,1999,58.5
prt,2000,59.2
prt,2001,59.4
prt,2002,59.1
prt,2003,59.5
prt,2004,58.7
prt,2005,59.3
prt,2006,58.2
prt,2007,57.2
prt,2008,58.3
prt,2009,59.6
prt,2010,58.1
prt,2011,57.2
rou,1995,59.0
rou,1996,60.7
rou,1997,54.5
rou,1998,64.5
rou,1999,62.6
rou,2000,72.1
rou,2001,75.9
rou,2002,61.7
rou,2003,60.5
rou,2004,54.1
rou,2005,58.8
rou,2006,55.8
rou,2007,56.6
rou,2008,60.4
rou,2009,59.7
rou,2010,60.7
rou,2011,57.1
sgp,1995,43.9
sgp,1996,44.0
sgp,1997,43.6
sgp,1998,46.1
sgp,1999,45.5
sgp,2000,45.7
sgp,2001,48.8
sgp,2002,47.2
sgp,2003,46.4
sgp,2004,42.6
sgp,2005,42.1
sgp,2006,41.9
sgp,2007,42.3
sgp,2008,44.7
sgp,2009,45.7
sgp,2010,43.9
sgp,2011,45.1
svk,1995,42.8
svk,1996,44.2
svk,1997,45.9
svk,1998,45.7
svk,1999,44.3
svk,2000,45.2
svk,2001,44.2
svk,2002,44.4
svk,2003,43.8
svk,2004,42.5
svk,2005,43.1
svk,2006,42.6
svk,2007,42.3
svk,2008,43.0
svk,2009,46.5
svk,2010,45.7
svk,2011,44.7
svn,1995,68.6
svn,1996,66.2
svn,1997,64.1
svn,1998,62.8
svn,1999,61.6
svn,2000,62.8
svn,2001,63.0
svn,2002,62.0
svn,2003,61.4
svn,2004,61.6
svn,2005,61.4
svn,2006,60.8
svn,2007,59.9
svn,2008,61.1
svn,2009,64.5
svn,2010,65.4
svn,2011,65.2
swe,1995,56.2
swe,1996,58.4
swe,1997,57.9
swe,1998,57.6
swe,1999,56.4
swe,2000,58.6
swe,2001,60.1
swe,2002,59.5
swe,2003,58.6
swe,2004,57.9
swe,2005,57.5
swe,2006,56.1
swe,2007,56.9
swe,2008,56.9
swe,2009,58.2
swe,2010,56.5
swe,2011,55.5
tur,1995,41.2
tur,1996,43.1
tur,1997,44.5
tur,1998,44.0
tur,1999,52.2
tur,2000,46.5
tur,2001,46.2
tur,2002,43.3
tur,2003,42.3
tur,2004,37.2
tur,2005,35.1
tur,2006,33.9
tur,2007,33.8
tur,2008,33.0
tur,2009,34.6
tur,2010,34.1
tur,2011,29.7
usa,1995,62.4
usa,1996,61.7
usa,1997,61.5
usa,1998,62.3
usa,1999,62.3
usa,2000,63.2
usa,2001,63.1
usa,2002,62.2
usa,2003,62.2
usa,2004,61.3
usa,2005,60.7
usa,2006,60.6
usa,2007,60.6
usa,2008,61.0
usa,2009,60.6
usa,2010,59.3
usa,2011,59.2
